video_id,total_comments,avg_likes_per_comment,total_likes,max_likes_per_comment,avg_comment_length,median_comment_length,avg_word_count,median_word_count,comments_with_mentions,comments_with_hashtags,comments_with_urls,total_replies,reply_comments_count
-46Vyiwat_Y,30,2947.2,88416,43538,60.27,45.0,10.5,7.5,10,0,1,223,25
-6YiD77uWD8,7,3.0,21,9,90.71,69.0,18.43,13.0,1,0,0,0,0
-7Sl5cnxMxw,30,99.97,2999,1035,57.1,48.5,11.0,10.0,2,0,0,18,13
-8VOMX5JYoQ,30,68.9,2067,681,110.17,60.5,20.03,11.0,5,0,0,23,18
-ZscZv-IMyI,30,166.3,4989,2359,186.83,134.5,32.77,23.0,2,0,1,57,20
-dw8fYgBK1I,11,2.36,26,14,63.18,51.0,12.64,11.0,1,0,0,4,4
-evuAUsB0mo,5,0.8,4,2,42.6,34.0,9.0,7.0,0,0,0,0,0
-hzWbMy0CBg,30,48.17,1445,852,92.47,56.0,16.83,10.5,2,0,1,43,22
-lzlQCtT1rU,30,8.07,242,96,41.1,35.0,7.73,6.5,0,0,0,0,0
-m7DLiFH-CE,30,14.77,443,150,96.57,87.5,17.7,16.0,0,0,0,11,10
-mSBv-BLv6M,6,4.17,25,15,117.67,108.5,22.83,20.5,0,0,0,1,1
-r2SH6EH5eY,30,41.53,1246,509,161.4,106.5,28.9,18.0,3,0,1,25,18
-rbbOf5upaU,30,47.4,1422,1076,94.2,79.0,17.47,15.0,2,0,0,39,7
-rrYftR8UeA,10,2.8,28,17,142.5,102.0,26.7,18.0,0,0,0,0,0
-rzB-xeYZJI,30,10.0,300,120,44.27,29.5,8.17,6.0,1,0,0,14,13
-ycyXg3s4gs,28,0.89,25,7,79.18,57.5,15.39,12.0,1,1,0,5,5
0-KLzTzLk0E,30,4.47,134,38,69.33,51.5,13.5,11.0,2,0,0,6,6
06aaT3kZdkE,30,11.3,339,82,212.97,148.0,40.53,30.0,3,0,0,18,13
0E9ZcyCpMIs,30,17.63,529,213,269.53,226.0,49.23,41.0,1,0,0,46,7
0EJF8dRNLyQ,30,6.8,204,71,71.37,54.0,13.13,10.0,2,0,1,11,10
0K1nA46Bink,30,10.4,312,137,47.07,41.0,8.93,8.0,2,0,0,10,10
0Mzj2i7Z8uE,30,720.27,21608,6825,34.6,27.0,6.43,4.5,0,0,0,89,24
0VjvUUHsuYs,30,83.0,2490,710,112.17,84.0,20.8,16.5,3,0,1,20,16
0duNfnP8Z50,30,51.07,1532,556,123.6,57.5,22.5,9.0,0,1,0,21,17
0hK9eFWorEU,30,7.33,220,60,61.37,44.0,11.17,7.0,2,0,1,9,9
0iaU9VZXKUQ,30,27.37,821,304,176.53,147.5,32.03,26.5,5,0,1,26,19
0l5tcF6Rao0,30,336.57,10097,3093,100.03,39.5,18.13,7.5,6,0,1,44,24
0mE919RsXOc,10,1.7,17,4,74.9,40.0,13.7,8.5,0,0,0,1,1
0rkRC728rIU,30,151.23,4537,2743,122.67,91.5,22.7,17.5,6,0,0,63,23
1-6H_Xq9XjI,7,0.71,5,3,137.86,44.0,25.43,8.0,0,0,0,0,0
15lyO5qmtg0,30,42.5,1275,420,97.4,93.5,17.53,16.5,5,0,1,20,15
19pxHEcEa6I,14,13.14,184,137,61.14,49.0,11.29,9.0,3,0,0,5,5
1ArVtCQqQRE,30,2041.37,61241,33726,58.23,52.5,10.9,9.0,2,0,1,661,24
1EyBVAwasHk,30,47.17,1415,713,97.6,73.5,16.8,13.0,10,0,0,33,21
1G2ltEiSYBw,30,17.2,516,145,221.93,171.5,39.43,29.5,0,0,1,8,8
1K-yiSBN8p4,14,7.0,98,35,92.93,78.0,14.93,15.0,3,0,1,6,6
1XsEZn5xlno,29,4.38,127,47,76.31,50.0,13.72,10.0,0,0,1,1,1
1ZPiBcz3nSc,30,19.83,595,203,66.9,45.5,12.43,8.0,5,0,1,23,11
1dIU1YhZX94,30,23.97,719,231,278.13,124.0,50.57,22.5,0,0,0,16,14
1gS5v6EMaSc,30,210.83,6325,3601,101.0,83.0,18.27,15.5,3,0,1,62,24
1lMCGdVAgGQ,30,78.13,2344,1286,129.3,62.0,23.77,10.0,8,0,0,34,20
1s3QPW3raN0,30,9.23,277,132,75.73,55.5,13.5,10.0,0,0,1,10,10
1tosGFzwQHo,30,43.4,1302,540,51.13,31.5,9.1,5.5,5,0,1,23,16
1wLNDHVQxU4,5,1.6,8,5,59.0,23.0,10.6,4.0,0,0,0,1,1
2BgZSxMu5oI,28,1.18,33,9,103.21,78.0,20.25,14.5,4,0,0,8,8
2LR8N2ko6a8,30,24.07,722,260,70.97,62.5,13.3,11.0,3,0,0,15,14
2nBlXHXlvto,10,4.7,47,28,35.5,28.0,7.3,5.0,1,0,0,3,3
3-11fooOoLM,18,6.22,112,39,102.56,51.5,19.28,9.5,0,0,0,5,5
34ehGQMt5l4,16,1.38,22,5,67.25,47.5,13.25,9.0,0,0,0,0,0
38h0Zuw3cv4,30,11.07,332,170,62.43,44.5,10.53,8.0,3,0,1,8,6
3D4JB8LzBC8,30,362.0,10860,4287,93.5,49.0,16.7,8.5,7,0,0,56,23
3JTknUk8YIE,30,54.63,1639,802,93.53,61.0,17.17,11.0,2,0,0,12,11
3KLE_xwbGqg,30,66.5,1995,811,142.23,81.5,23.87,15.0,4,0,1,26,20
3LXUVa4ugwc,30,123.8,3714,1671,74.03,62.0,13.4,11.0,2,0,1,37,19
3NdH1pdQVhE,30,510.27,15308,6477,71.43,43.5,13.33,8.5,2,0,1,57,24
3Uuwe4BxYJE,24,9.92,238,160,76.75,65.5,14.12,12.0,3,0,0,10,10
3Y8VXWUIcaw,7,1.43,10,7,84.71,57.0,16.86,10.0,0,0,0,0,0
3bamBYQS8io,30,9.6,288,92,199.53,114.5,36.6,21.5,0,0,1,7,7
3monI2ExCJU,30,45.6,1368,1001,196.83,177.5,35.77,33.5,2,0,0,20,11
3rCj_u5mmtE,6,1.17,7,6,103.17,27.0,20.83,5.5,0,0,0,0,0
3r_jpt04M68,28,3.43,96,42,88.32,48.0,15.96,9.0,0,0,1,3,3
3wuVuqgu45M,20,4.25,85,50,43.6,27.0,8.35,5.5,0,0,0,2,2
41CbOHhx8b8,11,3.82,42,25,98.82,79.0,18.91,15.0,1,0,0,4,4
43swgRhxbmk,30,22.37,671,179,223.97,166.0,40.07,28.5,0,0,0,7,7
47pP4Y9J_h4,20,2.75,55,13,86.4,76.5,15.75,14.0,0,0,1,2,2
4LN1eqJcTaU,26,3.5,91,43,129.69,89.0,23.31,16.0,0,0,0,6,6
4QtYOmblLOY,30,40.13,1204,288,114.97,90.0,20.67,15.5,8,0,0,21,14
4V2ZwgJw62I,30,86.53,2596,685,164.13,108.5,29.53,20.0,6,0,1,35,18
4aYVLpY5FYU,30,96.87,2906,1932,159.43,98.5,29.83,17.5,3,1,2,58,15
4cYeHxVLqZ8,14,3.5,49,16,75.93,78.0,13.57,12.5,0,0,0,2,2
4dC80qM-vck,12,2.92,35,15,137.75,128.0,26.75,24.5,0,0,1,0,0
4f7iiu5ck8U,30,233.23,6997,2276,107.07,58.0,20.13,11.0,3,0,0,65,21
4mTfkDkIo4s,30,24.87,746,212,53.03,42.5,8.83,7.5,1,0,1,18,18
4okyc5CQYfU,8,4.88,39,29,41.75,41.0,7.75,8.0,0,0,0,0,0
5-YXQ9LcEjQ,30,65.7,1971,1039,101.8,74.0,18.0,12.5,3,0,0,29,18
5791L8VEHZw,30,139.67,4190,1136,63.83,40.0,11.63,7.5,2,0,1,41,21
58BHUsD24vs,30,39.13,1174,599,141.1,65.0,25.33,13.0,2,0,1,22,17
5FPuHYY7VPc,30,24.0,720,224,205.37,172.0,37.97,31.5,0,0,0,2,2
5FgvGQXfV10,30,486.6,14598,5750,48.67,34.5,8.3,4.5,3,1,0,88,23
5JTNftIJxl4,5,0.4,2,2,121.2,62.0,22.2,13.0,2,0,0,3,3
5Nin1OtjOlU,30,447.33,13420,6322,151.97,91.5,27.67,17.0,8,0,1,90,24
5Rqiba5mqLk,30,58.43,1753,543,402.33,83.0,75.0,16.0,4,0,1,44,24
5ZuUYititDU,30,90.93,2728,1530,72.3,44.0,13.07,7.5,3,0,0,42,19
5bJ1aKd7xL8,30,9.33,280,86,38.2,28.0,7.47,5.5,1,0,0,12,12
5gT0x0EO9_8,30,98.23,2947,1907,80.67,60.5,14.07,10.0,2,0,1,68,14
5k3uMaJN4IU,7,2.86,20,6,153.29,40.0,27.71,8.0,0,0,0,0,0
5sKPaDmcJH0,30,138.6,4158,1171,50.57,36.0,9.47,7.0,5,0,2,39,24
5tEPfbrHRl4,30,18.87,566,260,57.2,56.5,10.17,11.0,3,0,1,9,6
5wDfRwAmIVY,30,268.37,8051,2131,58.23,44.5,10.07,7.0,9,0,0,52,22
5xGGVv60rq8,30,2.63,79,32,58.9,43.5,11.2,8.5,2,0,0,6,6
66G7TnkdMd8,30,19.53,586,143,138.47,95.0,24.63,17.0,1,0,0,7,7
6Dvkq5yAvcA,30,64.53,1936,712,195.73,88.5,36.63,17.5,3,1,0,23,18
6Fa5f9_4Oi4,30,61.47,1844,774,81.27,70.0,14.33,11.5,3,0,0,22,15
6Mo7xB4SNsc,17,3.41,58,24,115.12,71.0,21.35,12.0,0,0,0,2,2
6P5zJv5qzxU,18,4.11,74,42,70.28,34.0,13.5,8.0,1,0,0,3,3
6T-mgthXWzM,30,18.73,562,284,185.97,128.5,34.0,26.0,0,1,1,9,9
6cSI6b6qPSg,7,1.0,7,5,18.71,15.0,4.0,3.0,0,0,0,2,2
6cXQ6zk0Nrk,30,94.97,2849,1290,135.1,66.0,25.17,11.0,6,0,0,60,17
6ltK8OaFyy4,30,5.23,157,67,144.3,105.0,26.23,21.0,0,0,0,1,1
6m5vC3o2tRQ,30,939.17,28175,13592,65.2,32.5,11.23,6.0,6,0,1,150,25
6o2tm00Ar8A,30,574.23,17227,7645,100.57,76.0,17.33,12.5,6,0,1,123,24
6vz3ift4RAM,30,46.07,1382,742,84.8,88.5,15.17,15.0,3,0,1,9,7
6x1i0K4Eg1g,30,46.57,1397,629,91.13,70.5,16.2,11.5,3,0,1,22,17
76yqErAib5g,30,711.37,21341,15691,107.6,52.0,18.9,9.5,5,0,1,238,24
7APfFjfnNBc,30,26.0,780,222,65.13,53.0,12.43,10.0,3,0,0,23,12
7P6RArpBwDk,30,44.33,1330,567,100.2,103.0,18.6,16.5,5,0,1,28,19
7dJKP9Qt8JU,30,6.33,190,92,61.8,53.5,11.23,9.5,1,0,1,7,7
7ftghLnesZ8,13,2.38,31,6,70.54,56.0,12.92,9.0,1,0,1,3,3
7hVqxhZaxtk,30,69.5,2085,510,135.2,63.0,24.27,12.5,5,0,1,25,19
7m0p8EFy3Pw,30,572.83,17185,12761,152.8,67.0,26.6,8.5,6,0,2,89,21
7msJtKR0lH4,18,1.5,27,8,59.78,38.0,11.39,7.5,0,0,1,2,2
7rAxyujhNz0,21,2.29,48,13,97.52,58.0,19.48,12.0,3,0,1,7,7
7zG1b49aCGI,30,2.07,62,18,82.0,41.0,16.17,8.0,0,0,0,3,3
8-WiFvM15-0,30,26.03,781,324,103.53,75.5,18.8,14.0,5,0,1,48,19
8-edcK66xZM,24,1.0,24,7,123.12,95.5,22.71,17.0,0,0,0,9,9
80rugVXQzes,30,200.23,6007,2278,77.8,54.5,13.67,10.5,10,0,0,53,23
85qmJl7RlxA,11,2.09,23,8,106.73,79.0,20.09,11.0,0,0,1,2,2
86gx9bKQheM,30,14.67,440,136,67.2,48.5,12.07,9.5,0,0,0,4,4
8BZMuF5uV_w,30,18.4,552,248,69.3,51.5,12.73,10.0,2,0,0,7,7
8B_O04IdW9M,30,34.07,1022,421,147.47,77.0,27.17,15.5,2,0,1,11,11
8GMYKZN0CTY,30,46.47,1394,617,63.87,39.5,11.13,7.5,2,0,1,24,19
8LOB92gjgww,9,6.33,57,31,116.22,73.0,21.89,15.0,0,0,1,3,3
8NBhJy_GopM,30,91.43,2743,1015,208.0,76.0,36.93,12.5,2,0,2,47,24
8ZvbInUxCXU,30,16.63,499,470,92.47,100.0,16.53,17.0,1,0,1,4,4
8bEcHONK91I,13,2.0,26,7,115.08,65.0,19.62,11.0,0,0,1,1,1
8eIeyZZUEp8,8,3.88,31,20,177.0,85.0,32.62,14.0,0,0,0,2,2
8lhSb5libHY,30,19.0,570,139,377.83,254.0,68.37,42.5,0,3,0,6,6
8tKuviI68Ss,30,151.4,4542,1504,117.9,101.0,20.87,17.0,6,1,1,67,25
8u0RK3L0D64,30,207.63,6229,1755,113.17,65.0,21.27,12.5,0,0,1,49,24
8urzOH10LEM,30,27.47,824,283,169.8,102.5,30.63,17.5,6,0,1,26,18
8x30UHGJAEc,20,4.35,87,43,89.1,49.0,16.15,10.5,0,0,1,9,9
8zaKVFC9Eu4,30,39.43,1183,309,131.07,99.0,24.23,18.0,2,0,1,25,19
94emc6eqllE,30,167.93,5038,2598,91.6,58.0,16.6,11.0,4,0,1,29,21
96McQ3PHU7A,30,177.47,5324,1657,81.93,41.5,14.77,7.5,2,0,1,30,22
9AvXE3qdPSo,30,17.17,515,145,112.03,99.5,19.8,16.5,0,0,0,0,0
9DH4pAg1qaQ,30,27.67,830,248,103.2,81.5,18.8,14.5,3,1,3,37,22
9ODYbpotwis,11,3.27,36,20,74.55,41.0,11.55,7.0,0,0,1,1,1
9QbC5Xk_1I8,30,158.33,4750,2512,91.27,65.0,17.17,12.0,3,0,1,56,25
9VXC9fWQ_aI,30,123.1,3693,2340,162.53,62.5,30.8,12.5,9,0,1,34,24
9awCB59ZHPs,30,8.27,248,115,96.57,27.5,16.8,6.0,2,0,1,14,12
9otYs7w7DBY,30,48.2,1446,446,92.17,58.5,17.3,10.0,2,0,1,28,17
9s7AXw7o76Q,30,228.13,6844,1785,52.9,43.0,8.87,6.0,1,0,0,30,22
9yx_WEcFkH0,21,3.95,83,50,84.81,80.0,15.57,15.0,1,0,1,3,3
A4ya80m9L6M,30,17.03,511,241,78.27,63.0,15.03,12.0,1,0,0,4,4
AAnIrWVVFsM,9,1.44,13,5,21.67,16.0,4.33,3.0,0,0,0,1,1
ABED1GjTUrk,30,10.53,316,108,147.23,101.0,27.27,18.0,1,0,0,10,10
ABEgnU59CFU,30,22.5,675,406,95.1,72.5,17.13,13.5,1,0,1,17,11
AECP5NsWRkE,30,14.57,437,142,138.4,104.0,23.77,18.5,3,0,1,18,17
